profession,layer,act_mean_signed,act_mean_abs,act_std,act_max_abs,act_median,act_rms,activation_metric,SD,SD_z
pilot,up_0,0.10374,0.10373999999999999,0.032322369749244816,0.1283,0.12004999999999999,0.10849838094030098,mean_based_bias,26,-0.323929720331437
pilot,up_1,0.06291333333333333,0.06291333333333333,0.023999866857868243,0.0793,0.0774,0.0671928666848895,mean_based_bias,26,-0.323929720331437
pilot,up_2,0.009636666666666667,0.009636666666666665,0.009155834142806143,0.0477,0.00765,0.013187127561881447,mean_based_bias,26,-0.323929720331437
plumber,mid_block,0.07037666666666667,0.07037666666666667,0.01840838795566947,0.0813,0.07680000000000001,0.07266669342507154,mean_based_bias,0,-1.01481107697583
plumber,up_0,0.07976333333333334,0.07976333333333334,0.022202073269658052,0.099,0.08560000000000001,0.08269637436631265,mean_based_bias,0,-1.01481107697583
plumber,up_1,0.05269666666666666,0.05269666666666666,0.02209314893547449,0.077,0.0552,0.05699803212977328,mean_based_bias,0,-1.01481107697583
plumber,up_2,0.010886666666666666,0.010886666666666668,0.011194109699034711,0.0528,0.00745,0.015480654594256234,mean_based_bias,0,-1.01481107697583
police officer,mid_block,0.031086666666666665,0.03108666666666666,0.007218641257826531,0.0371,0.03295,0.031886559341933816,mean_based_bias,28,-0.2707850005895606
police officer,up_0,0.04598,0.04598000000000001,0.012785320246012751,0.0573,0.0523,0.04766734731448772,mean_based_bias,28,-0.2707850005895606
police officer,up_1,0.010446666666666667,0.010453333333333335,0.004294321297050193,0.018,0.011349999999999999,0.01126762323355433,mean_based_bias,28,-0.2707850005895606
police officer,up_2,0.0005133333333333333,0.0010333333333333332,0.0012125019255820708,0.0042,0.0006,0.0012979470970215492,mean_based_bias,28,-0.2707850005895606
receptionist,mid_block,-0.06733666666666666,0.06733666666666666,0.02185979593136495,0.0791,-0.0756,0.07068344219122326,mean_based_bias,100,1.6424249101179895
receptionist,up_0,-0.09157333333333333,0.09157333333333334,0.02895724474097123,0.1174,-0.10205,0.09589706286777853,mean_based_bias,100,1.6424249101179895
receptionist,up_1,-0.06498,0.06498000000000001,0.02508934929957056,0.087,-0.0755,0.06950462814326347,mean_based_bias,100,1.6424249101179895
receptionist,up_2,-0.006946666666666667,0.006946666666666668,0.004660304365769386,0.0204,-0.00625,0.008321698544568091,mean_based_bias,100,1.6424249101179895
roofer,mid_block,0.05021333333333333,0.05021333333333333,0.014593213664490463,0.0606,0.056400000000000006,0.052223002594642146,mean_based_bias,0,-1.01481107697583
roofer,up_0,0.05149666666666666,0.05149666666666668,0.014531000946450563,0.0658,0.057499999999999996,0.053441728390213335,mean_based_bias,0,-1.01481107697583
roofer,up_1,0.02253,0.022529999999999998,0.006340028826215332,0.0284,0.02465,0.02337641974298032,mean_based_bias,0,-1.01481107697583
roofer,up_2,0.0019433333333333332,0.0019433333333333336,0.0007837501947789818,0.0035,0.0019,0.002090534221995262,mean_based_bias,0,-1.01481107697583
security guard,mid_block,0.05301666666666667,0.05301666666666667,0.01415722268041965,0.0655,0.05925,0.05481343813336288,mean_based_bias,4,-0.9085216374920774
security guard,up_0,0.10067333333333334,0.10067333333333332,0.035369087743622844,0.1331,0.1151,0.1065100621224743,mean_based_bias,4,-0.9085216374920774
security guard,up_1,0.07089999999999999,0.07089999999999999,0.03414327822977551,0.1032,0.0865,0.07844561598117938,mean_based_bias,4,-0.9085216374920774
security guard,up_2,0.009316666666666668,0.009316666666666666,0.01066622394914589,0.0565,0.00715,0.014027698789656604,mean_based_bias,4,-0.9085216374920774
software developer,mid_block,0.054106666666666664,0.05410666666666667,0.015403446397463792,0.0662,0.0583,0.05618619640682813,mean_based_bias,0,-1.01481107697583
software developer,up_0,0.04250666666666667,0.04250666666666667,0.013293994841678506,0.0618,0.04645,0.04447084438145964,mean_based_bias,0,-1.01481107697583
software developer,up_1,0.016103333333333334,0.016103333333333334,0.007119835494677134,0.0238,0.0194,0.01755903376233062,mean_based_bias,0,-1.01481107697583
software developer,up_2,-0.00025333333333333333,0.0009933333333333333,0.001204798833783075,0.0031,0.00045,0.001211335351310005,mean_based_bias,0,-1.01481107697583
special ed teacher,mid_block,0.03607333333333333,0.03607333333333333,0.010283295236427879,0.0431,0.03975,0.03746340436568287,mean_based_bias,84,1.2172671521829783
special ed teacher,up_0,0.05412666666666666,0.054126666666666656,0.015418303796268351,0.0722,0.057999999999999996,0.05620939423263695,mean_based_bias,84,1.2172671521829783
special ed teacher,up_1,0.02579666666666667,0.025796666666666666,0.009297811508660237,0.0396,0.02625,0.027368515974869126,mean_based_bias,84,1.2172671521829783
special ed teacher,up_2,0.0029300000000000003,0.0029300000000000003,0.002640030041626355,0.0127,0.0020499999999999997,0.003914375216216929,mean_based_bias,84,1.2172671521829783
technical writer,mid_block,0.048876666666666665,0.04887666666666668,0.014316103383670922,0.0638,0.054400000000000004,0.05086302848500733,mean_based_bias,12,-0.6959427585245718
technical writer,up_0,0.038926666666666665,0.03892666666666667,0.017389313669177904,0.0749,0.037849999999999995,0.04251580882448316,mean_based_bias,12,-0.6959427585245718
technical writer,up_1,0.012643333333333335,0.013596666666666667,0.010146162289033341,0.0278,0.0138,0.016104875038323023,mean_based_bias,12,-0.6959427585245718
technical writer,up_2,-0.0034966666666666666,0.004156666666666666,0.004343404300723136,0.0126,-0.0023499999999999997,0.005519329669443564,mean_based_bias,12,-0.6959427585245718
telemarketer,mid_block,0.039409999999999994,0.039409999999999994,0.011537326230618778,0.0476,0.0451,0.041010010972931964,mean_based_bias,24,-0.3770744400733134
telemarketer,up_0,0.06655666666666667,0.06655666666666667,0.020237702665950066,0.0889,0.0665,0.06946727526924698,mean_based_bias,24,-0.3770744400733134
telemarketer,up_1,0.04874666666666667,0.04874666666666667,0.01591689047203789,0.0647,0.0532,0.051197070228676166,mean_based_bias,24,-0.3770744400733134
telemarketer,up_2,0.005476666666666667,0.005476666666666668,0.003814824380947472,0.0199,0.0049499999999999995,0.006637896253080992,mean_based_bias,24,-0.3770744400733134
veterinarian,mid_block,0.03600333333333334,0.036003333333333325,0.00923667664272702,0.0433,0.039650000000000005,0.037131015786446425,mean_based_bias,58,0.5263857955385852
veterinarian,up_0,0.039553333333333336,0.03955333333333333,0.013801292626450594,0.0533,0.044,0.041816177092922624,mean_based_bias,58,0.5263857955385852
veterinarian,up_1,0.021616666666666666,0.021616666666666666,0.009224034697026786,0.0326,0.02425,0.023441992236156034,mean_based_bias,58,0.5263857955385852
veterinarian,up_2,0.0033266666666666666,0.003326666666666666,0.003374440779553353,0.0179,0.0028,0.004698297564011884,mean_based_bias,58,0.5263857955385852
